Twitter ID,Week#,Tweets,"1=postive, 2=N, 3=Negative, 0=unknown","EmotionCode (1= Anger/insult/dogmatic/judgemental2= fear/stressed out/depressed/sad/bummed out/embarrassed, 3= loving/kind/supportive/inspired/helpful/longing/hopeful, 4 = happy/joking/excited/turned on 5= Neutral,statement 0 = don't know/not relevant/sarcastic without enough info on emotion","Emotion Intensity (0=unknown/not relvant 1= no emotion, 2 = some emotion, 3= extremely intense)",950
theaaliyahsade,6,anger is often deep seated and complex\t a secondary emotion that consumes an individual in defense of more vulnerable feelings,2,5,0,
francapark,0,Anyone in LA who's going to kam wanna house me for a night :-),2,5,0,
theaaliyahsade,2,anyway,0,0,0,
theaaliyahsade,9,Apparently I\'m going to ABC\t aye it\'s lit.,2,5,2,
theaaliyahsade,2,as muslims we shouldn\'t be disrespecting each other like this\t unity y\'all.,2,5,0,
ChristyLovee_,2,ASU is leading an action in response to the current racial incident. Please come to the bruin bear\x9f?? https://t.co/gaSC7XvZOY,2,5,2,
lauraa_x16,0,awkward moment when u post a regular snapchat to your story,2,5,0,
_nicolenaranjo,7,Baby boi. Andre ???? https://t.co/a8ySAj8X7m,2,5,0,
rickyterriquez,11,backseat\t windows up,2,5,0,
_nicolenaranjo,3,basic bitches from HS are annoying.,3,1,3,
angelaa_trannn,9,BCAF FAM ???? So thankful that I was able to be a part of the UCLA KASA Dance Off legacy. I'm so glad\x9f?? https://t.co/yuxl1YOzMC,1,4,2,
angelaa_trannn,9,BCAF FAM ???? So thankful that I was able to be a part of the UCLA KASA Dance Off legacy. I'm so glad\x9f?? https://t.co/yuxl1YOzMC,1,3,2,
k8giannini,1,Be an English major! So you can learn words like: would you like fries with that? - Professor Chayes,2,5,0,
theaaliyahsade,7,Being a part of a communtiy full of the strongest\t most socially conscious and determined individuals #BlackOnCampus,1,3,2,
_nicolenaranjo,3,Being broke sucks.,3,2,2,
KAISERxDRAGON,2,Being the floor dj and doing homework. Like a boss,1,4,2,
angelaa_trannn,9,Best experience ever ???\x8d,1,4,3,
rickyterriquez,5,bet you wish you had this when you could've,2,5,0,
Lilly_vujacic,2,Boba sounds good right now,1,4,2,
theaaliyahsade,3,BONITA APPLEBUM YOU GOTTA PUT ME ON,0,0,0,
KAISERxDRAGON,4,Branding explained! Yes!,1,4,2,
KAISERxDRAGON,4,Branding explained! Yes!,1,4,2,
Lilly_vujacic,4,Brandon only comes because we have AC and food ???\xaa,1,4,2,
theaaliyahsade,2,BRUH THERE IM AT THE RONALD REAGEN MEDICAL CENTER AND THE DOCTOR SITTING NEXT TO ME IS A BLACK MAN WITH MD PhD ON HIS NAME TAG #excellence,1,3,2,
francapark,0,Burnt popcorn. Unfortunate.,3,2,2,
scoopofscorpio,11,but I'm ???? https://t.co/N3ig1iA6fX,0,0,0,
theaaliyahsade,3,but islam was spread by the sword?,2,5,0,
ChristyLovee_,7,But this is what I chose,2,5,0,
theaaliyahsade,4,buying experiences won't make you happy,2,5,2,
_nicolenaranjo,3,byeeee https://t.co/guCNty9b5g,0,0,0,
theaaliyahsade,2,can i shadow you sir?,2,5,0,
sgbrandonn,3,Can I win the lottery #thecollegestudentstruggleisreal,1,4,2,
nancyh_22,1,can't wait for Friday!!!,1,4,2,
daisyarriaga1,7,can't wait for my glasses to arrive,1,4,2,
ThatAsian_Zeke,8,Casually scrolling through instagram when https://t.co/qw0o64P6pV,0,0,0,
rickyterriquez,8,Chanel #3 is Princess Leia's daughter lol,2,5,0,
NYokubaitis,5,"Check out this UCLA startup I\'m a part of! Charge cards with built in cord. Use promo code ""NICHOLAS""  for 15% off! https://t.co/NVcVZyuHVx",2,5,0,
NYokubaitis,5,"Check out this UCLA startup I\'m a part of! Charge cards with built in cord. Use promo code ""NICHOLAS""  for 15% off! https://t.co/NVcVZyuHVx",2,5,0,
NYokubaitis,5,"Check out this UCLA startup I\'m a part of! Charge cards with built in cord. Use promo code ""NICHOLAS""  for 15% off! https://t.co/NVcVZyuHVx",2,5,0,
scoopofscorpio,6,check the CCLE site and finding out you passed an assignment is honestly one of the best feelings in the world ???\x8f??\x8f?,1,4,3,
pppnguyener,8,chem midterm\t preparing for high school conference\t and long dance practices...sigh my week is going cray,3,2,2,
CarlosRamirezEn,0,"Chemistry Teacher: ""Who\'s pre-med?""",2,5,0,
ChristyLovee_,12,Chicken \x9f????\x8f???\x8f https://t.co/pdANVu2hHd,0,0,0,
theaaliyahsade,8,College is cool until you have no phone or computer\t 2 essays due\t bad sleeping habits and $4 in your account,3,2,2,
_nicolenaranjo,3,College is stressful af.,3,2,2,
paja_thao,4,College....sigh..,3,2,2,
AndrewKnapp13,11,Coming home https://t.co/xVetEOX0r9,1,4,2,
theaaliyahsade,8,comment MBTI and rising/sun/moon signs,2,5,0,
daisyarriaga1,4,could it be??,0,0,0,
paja_thao,2,Cpo is amazing!!!,1,4,2,
lifewarrior94,4,Create projects\t build\t be an engineer\t be an entrepreneur.,2,5,0,
Lilly_vujacic,10,Currently my fav song,1,4,2,
theaaliyahsade,4,damn. &lt;33 https://t.co/fPZKbj7eZs,0,0,2,
theaaliyahsade,4,damn. &lt;33 https://t.co/fPZKbj7eZs,0,0,0,
theaaliyahsade,8,DAVID COME TO UCLA ON THURSDAY AND WATCH MOCKINGJAY pt 2 IN WESTWOOD,1,3,3,
evelyn_fierro,12,Dead tired but too much to do ????,3,2,2,
theaaliyahsade,5,death is only caused by a loss of homeostasis,0,0,0,
piwrightonline,4,Defense of Poetry by Sir Philip Sydney is pretty boring. Just a rehash of Boccaccio #rehash #Boccaccio,0,0,0,
francapark,4,Destressed https://t.co/Zz770aB3wE,3,2,2,
rickyterriquez,12,did it work???????\x8f? https://t.co/wounf0a2Ot,2,5,0,
rickyterriquez,1,did you get uglier?,3,1,2,
rickyterriquez,4,do u ever go out of ur way to spend more time w/ straight boys for that .00001% chance something will happen? bc same,2,5,0,
sgbrandonn,7,Dom is so COOL #FSP,1,4,2,
theaaliyahsade,2,don't do drugs if you can't handle drugs....,2,5,0,
lifewarrior94,2,Don't lose priority. Get out there and win!!!!!!,1,4,2,
theaaliyahsade,2,don't y'all ever get tired of old white men?,3,1,2,
Lilly_vujacic,1,Done for today,1,4,2,
sgbrandonn,1,Done with classes! https://t.co/2xUkJ4stoG,1,4,3,
daisyarriaga1,11,Drake the inspiration behind my poli sic essay lets see how this goes!!!!,1,3,2,
daisyarriaga1,5,dreaming of you,0,0,0,
VintedAlyssa,3,Dude that catch was amazing ...,1,4,2,
lauraa_x16,0,Dude you know what else we should make a playlist for? Cake making! -some random guy,1,4,3,
KAISERxDRAGON,0,Elevator broken. At least it isn't both..,2,5,0,
theaaliyahsade,6,emotions are the most natural/ understandable thing\t but expressing ones emotions in childish ways as an adult wont earn any1 compassion,2,5,0,
theaaliyahsade,2,energetically speaking you can be whoever you want to be,1,4,2,
theaaliyahsade,2,environment is everything,2,5,2,
scoopofscorpio,6,essay complete ???\x8f??\x8f?,1,4,2,
_nicolenaranjo,1,Essay due at 12 and I'm not done.,1,4,2,
_nicolenaranjo,10,Even if I do not do as well as expected\t I learned so much.,1,3,2,
theaaliyahsade,5,even the genius asks questions,1,3,2,
theaaliyahsade,2,even tho it\'s a part of our culture\t if ppl were educated on ableism they would make an effort not to use this lingo https://t.co/lFaUpvu9mt,3,1,2,
Lilly_vujacic,4,Even though it look a lot of my time,2,5,0,
scoopofscorpio,8,ever want to complain about my personality and mannerisms? Talk to my mother.,1,3,3,
nancyh_22,11,everyone is invited to my funeral,1,4,2,
_nicolenaranjo,12,Everything fell apart during fall quarter.,3,2,2,
_nicolenaranjo,6,Evolution \x9f?? https://t.co/J63pV8TcMY,0,0,0,
paja_thao,5,Exhausted but not tired. How does that happen?,2,5,2,
sgbrandonn,10,eye bag game strong AF !,0,0,0,
Lilly_vujacic,10,Feeling depressed,3,2,3,
KAISERxDRAGON,1,Finally ate with people today. XD,1,3,2,
daisyarriaga1,3,FINALLY GETTING THIS ESSAY DONE,1,4,2,
KAISERxDRAGON,1,Finally took a shower. Time to go sleep. Class at 9 am tmrw!,1,3,2,
theaaliyahsade,6,FIRE https://t.co/LB0QTWrfQC,0,0,0,
CarlosRamirezEn,0,First day of classes at UCLA. Spending it playing guitar with others in my residence hall. #musicians,1,4,3,
CarlosRamirezEn,0,First day of classes at UCLA. Spending it playing guitar with others in my residence hall. #musicians,1,4,2,
Lilly_vujacic,0,Floor Seats ???????????? #bruinbash http://t.co/ye8QI5ufBM,1,4,2,
_nicolenaranjo,2,Folklorico practice 2day ??????\x8f?,0,0,0,
evelyn_fierro,4,Food after a day of no food ????,1,4,2,
NYokubaitis,2,For the seniors stressed over college apps right now: trust me\t it\'s worth it.,1,3,2,
theaaliyahsade,9,forensic anything,0,0,0,
theaaliyahsade,3,FORREAL https://t.co/SWTyEi9gtq,0,0,0,
paja_thao,3,Freaken DEMOCRATIC DEBATE getting HOT. #DemDebate #BernieSanders ????????????,1,4,3,
KAISERxDRAGON,3,FREE DAY IN SAN FRAN! YAY!,1,4,2,
rickyterriquez,2,fucked my way up to the top,1,4,2,
paja_thao,3,Fucking. Homework.,3,2,2,
k8giannini,6,Getting homework done before 3am! ???????? #homeworkgoals,3,2,2,
AndrewKnapp13,1,Go Bruins! http://t.co/AfNNA5CoF2,1,4,2,
pppnguyener,0,GO BRUINS!!! ???????????? http://t.co/5lKW69FBKx,1,4,2,
pppnguyener,0,GO BRUINS!!! ???????????? http://t.co/5lKW69FBKx,1,4,2,
angelaa_trannn,7,God I need to do good ???????\x8f??\x8f\xaa,1,3,2,
VintedAlyssa,0,Going home today :D family time ^\t^,1,4,3,
sgbrandonn,11,got rid of my 8am lab and got a later time THANKGOD,1,3,2,
pppnguyener,7,grades are falling like the leaves on campus ??\x8d\x81??\x8d???\x8d? what is gpa,3,2,2,
Shea_bertolucci,0,GUESS WHO DOESN'T HAVE TO BUY TEXT BOOKS,1,4,3,
taytay_shanay,0,"Guy hitting on my roommate: ""your hair IS soft!"" *feels hair*",1,4,2,
sgbrandonn,2,haha this is early,2,5,0,
sgbrandonn,1,hahahah,0,0,2,
nancyh_22,5,Halloween costume: stressed as fuck. Essay due Thursday and two midterms on Monday.,3,2,2,
_nicolenaranjo,3,Halloween is coming up. This isn't a costume. My brother was actually president. Look at that girl in the back! Haha http://t.co/fyZx8bJR5L,2,5,0,
macklork,7,happy bday lillian!!!!!! love you and miss you so so much and hope to see u soon???????????? hope u have an amazing day!!! https://t.co/Tqg0OGI5Of,1,4,3,
Shea_bertolucci,7,Happy BEARthday ??\x90? https://t.co/ppvAEpBDYN,0,0,0,
NYokubaitis,9,Happy birthday to the homie @Brendan_OBrien1 miss you bro. Much love and hope it's a good one! https://t.co/Yjn2MN0Vs9,1,3,3,
angelaa_trannn,2,Hate it when people don't start on time.. ????,3,2,2,
Lilly_vujacic,8,Hating on my roommate rn,3,2,3,
Lilly_vujacic,2,Have so much to do,3,2,2,
Lilly_vujacic,1,Have to start getting more sleep,2,5,0,
Lilly_vujacic,4,Haven't played tennis in a while,2,5,0,
sgbrandonn,5,He literally just emailed is an assignment at 8am that is due before 4pm,3,2,2,
ChristyLovee_,3,He not dead yet..... Y'all need to pray for him,1,3,2,
theaaliyahsade,3,he said there\'s more black men in prison than this university like that\'s the black men\'s fault\t WHAT ABOUT PROP 209 HO?!?!?!,0,0,0,
rickyterriquez,5,hella cute boys at b-plate,2,5,0,
piwrightonline,10,Here are some people you might enjoy following Lists three institutions. Twitter is very #stupid,3,1,1,
taytay_shanay,6,Hey David let's go get manbuns together! -@slumdogmilanare,1,4,2,
taytay_shanay,6,Hey David let's go get manbuns together! -@slumdogmilanare,1,4,2,
taytay_shanay,0,Hi I'm tweeting for a sociology study get on my level wow this is 100% worth $75,1,4,2,
theaaliyahsade,3,hillary clinton keeps bringing up how she would be the first female pres\t but she a white feminist and don\'t really care about anything?!,2,5,0,
daisyarriaga1,5,hold up @____veee ur having a baby?? https://t.co/NXeyl4RcoN,0,0,0,
daisyarriaga1,5,hold up @____veee ur having a baby?? https://t.co/NXeyl4RcoN,0,0,0,
daisyarriaga1,7,Hold up so she doesn't understand it but like it ?? hummm i guess music is a universal language,2,5,0,
sgbrandonn,7,Holy fuck it's 2:40 already I've spent half the day sleeping,3,2,2,
ThatAsian_Zeke,9,Holy fucking shit @aaroncarter https://t.co/Y42Xoq1R9r,0,0,3,
angelaa_trannn,11,Home sweet home ??????\x8f?,1,3,3,
sgbrandonn,11,Home sweet home ???\x8f??\x8f\xaa,1,4,2,
angelaa_trannn,0,Hopefully I do better next week ???????\x8f??\x8f\xaa,1,3,2,
paja_thao,3,Horchata!!!,0,0,2,
pppnguyener,6,how do high schoolers survive on less than six hours of sleep!!!,1,3,2,
theaaliyahsade,2,how you do this?,2,5,0,
daisyarriaga1,6,hpw cute!!! https://t.co/JhiGy9OQmR,0,0,2,
theaaliyahsade,2,human suffering makes the world go round,3,1,2,
KAISERxDRAGON,4,Hunger meet workshop. Workshop meet hunger. https://t.co/bUqCciKRoj,0,0,0,
_nicolenaranjo,11,I accidentally dropped my phone in the toilet.,3,2,2,
scoopofscorpio,11,I always let my friends know that no one is good enough for them.,2,5,0,
_nicolenaranjo,5,I am just chilling in my room feeling like shit with a million things on my mind with a million things to do...,3,2,2,
theaaliyahsade,3,i be talking hella thuggish in my mind\t but acting respectable af during confrontations,3,1,2,
scoopofscorpio,8,I can just tell this is going to be a good week tbh,1,4,2,
sgbrandonn,6,I can sleep all day but I have to get up????,3,2,0,
sgbrandonn,3,I can't wait to go home,3,2,2,
_nicolenaranjo,4,I can't wait to TU this weekend.,1,4,2,
ChristyLovee_,5,I can\'t\t I gotta turn this ac on,2,5,0,
_nicolenaranjo,3,I didn't like many people in my graduating class anyways. They never kept it real!,3,1,2,
daisyarriaga1,11,i do !!!,0,0,0,
_nicolenaranjo,7,I don't care. You don't care.,2,5,0,
sgbrandonn,6,I don't even know who I follow Haha,1,4,2,
pppnguyener,4,I don't even understand school anymore ????,3,2,2,
scoopofscorpio,11,I don't miss LA yet lol,1,4,2,
_nicolenaranjo,8,I don't remember my brothers being this cute ????\x9f\x9d???\x8f https://t.co/m4Qj6Zr7KI,1,3,2,
ChristyLovee_,12,I don't understand how people in high school be stressed about finals .. That shit easy af,3,1,3,
k8giannini,10,I don't want to go to class,3,2,2,
sgbrandonn,3,I don't want to leave,3,2,2,
Lilly_vujacic,3,I don't want to start my ethno essay,3,2,2,
scoopofscorpio,1,I don\'t even feel nervous\t hm,1,4,2,
VintedAlyssa,10,I feel bad for not working out ):,3,2,2,
sgbrandonn,5,I feel goooodd I had 10 hours of sleep,1,3,3,
sgbrandonn,3,I feel guilty AF,3,1,0,
_nicolenaranjo,5,I feel like I am going to barf.,3,2,2,
sgbrandonn,4,I feel so empowered after this session  !!!,1,3,3,
_nicolenaranjo,11,I feel ya @daisyarriaga1 @justinbieber is the loml &lt;3,0,0,0,
_nicolenaranjo,4,I got hours of sleep doe ????????????,3,2,2,
Lilly_vujacic,10,I hardly ever take naps so I feel guilty,3,2,2,
scoopofscorpio,3,I hate accidentally finding things out ????,3,2,2,
francapark,4,I hate cramps,3,2,2,
lauraa_x16,1,I HATE EVERY PERSON WHO IS IN THE FRONT AND NOT ROCKING OUT TO @thebottlemen,3,1,3,
paja_thao,6,I hate math now,3,1,2,
_nicolenaranjo,11,I HATE PLUSES AND MINUSES ON GRADES SMH,3,2,2,
francapark,2,I hate probability. That shit makes so sense to me,3,2,2,
k8giannini,4,I hate puppies and underprivileged children\t stop asking me to join your club!!!i just want to get to class in peace ????,3,1,2,
Lilly_vujacic,7,I hate waking up late,3,2,2,
rickyterriquez,4,I have a paper to write and my laptop thought it'd be cute to have to update \x9f????\x8f,3,2,2,
_nicolenaranjo,6,I have done nothing.,3,2,2,
scoopofscorpio,8,I have overused my swipes for the quarter\t I will do better next.,3,2,2,
VintedAlyssa,0,I have school tomorrow and idk how I feel about that ?,3,2,2,
Lilly_vujacic,9,I have to do my essay but I keep procrastinating,3,2,2,
_nicolenaranjo,1,"I have to do the stupid ""think about it"" course. Are you serious. I have better things to think about.",3,1,2,
Lilly_vujacic,5,I have to think positive,1,3,2,
Lilly_vujacic,3,I haven't gotten anything done,3,2,2,
nancyh_22,9,I haven't seen him since father's day.,2,5,0,
daisiessyrup,11,I HIT ROCK BOTTOMMMMMM,3,2,3,
daisyarriaga1,10,i hope she likes it because this shit is taking up all my time,1,3,2,
francapark,4,I just spent $7 on candy ugh,3,2,3,
rickyterriquez,12,I just started the fosters on Netflix...goodbye sleep &amp; social life,1,4,2,
ChristyLovee_,5,I just want this class to be over,3,2,2,
rickyterriquez,7,I just want to wrap myself up in a blanket with a bae,2,5,0,
sgbrandonn,3,I just woke up from a nap..what are naps,1,4,2,
ChristyLovee_,10,I know some rapper is gonna come out w a new song about Kobe,2,5,0,
theaaliyahsade,2,i know that that isn\'t always true\t but if you go through life in ur feelings and out of control u will never b happy,2,5,0,
rickyterriquez,5,I like Ariana Grande so much\t I want to order an Ariana venti,1,4,2,
_nicolenaranjo,6,I listen to classical music because I heard that people who listen to classical music are smarter than people who listen to Fetty Wap.,2,5,2,
sgbrandonn,9,I lost my earphones somewhere in my house and I can't find them ????,3,2,2,
Lilly_vujacic,12,I love Disneyland,1,4,2,
daisyarriaga1,10,i love doing secretive cute surprises during the Holidays makes me feel like I'm one of Santa's Elves!! #WhereMyPayCheckAtThoeSanta,1,3,2,
theaaliyahsade,8,I LOVE FACEBOOK BC ALL THE OLD PEOPLE DRAMA\t but can y\'all keep ur ugly views about syrians\t muslims and caitlyn jenner to urself omg,3,1,2,
theaaliyahsade,7,I love how @leenalilo is so into photography\t I can\'t wait to see the world through your eyes sis. #muslimahexcellence,1,4,2,
rickyterriquez,12,I love it when you give me head\t I hate it when you give me headaches,0,0,0,
francapark,11,I love la but I'm so happy to be home :),1,4,2,
theaaliyahsade,8,I love learning about Ethiopia,1,4,2,
ChristyLovee_,6,I love piercings,1,4,2,
_nicolenaranjo,0,I love sleeping!,1,4,2,
_nicolenaranjo,5,I mailed myself a present (-:,1,4,2,
rickyterriquez,3,I mean I have my own opinions\t but I\'ll keep those to myself,2,5,0,
_nicolenaranjo,0,I miss coffee cake Thursday's!,3,2,2,
daisiessyrup,4,I miss you. Forever will miss u https://t.co/SLXlSeUjEP,1,3,2,
sgbrandonn,3,I missed the AC and the fast WIFI,3,2,2,
_nicolenaranjo,1,I missed the deadline registration for the LA Marathon and now I have to pay more. #sadandbroke,3,2,2,
rickyterriquez,4,I need a nap,2,5,0,
scoopofscorpio,6,I need my internship to start soon so I can be productive again lol,1,3,2,
paja_thao,2,I need to go to the store. Getting cluster phobic just being in my room.,3,2,2,
sgbrandonn,1,I need to hurry up and finish up these reflections,3,1,2,
ChristyLovee_,8,I need to let out all this anger,3,1,2,
angelaa_trannn,0,I need to start hitting the gym soon ????,1,3,2,
_nicolenaranjo,4,I need to study for my midterm.,3,2,2,
daisiessyrup,4,I PASSED MY MATH MIDTERM. YASSSSSSSSS,1,4,3,
sgbrandonn,6,I really do not like this time change because it gets so dark so early,3,2,3,
theaaliyahsade,8,I really miss the somali community,3,2,2,
sgbrandonn,7,I really thought that was it for my phone,2,5,2,
theaaliyahsade,3,I really want to talk to some ppl from high school\t but hey decide to be extra and delete their social media and i have no phone sooo,3,2,2,
lauraa_x16,1,I refuse to believe that I threw away all of Mr. and Mrs. Worths' notes but kept all of Duarte's,2,5,0,
scoopofscorpio,2,I say the most odd things sometimes,2,5,0,
taytay_shanay,8,I sexually identify myself as a spork\t thank you very much. -David,1,4,2,
_nicolenaranjo,3,I should be finishing my homework but I can't help but feel blessed.,1,3,3,
_nicolenaranjo,1,I started my period today and the moon is red. Coincidence?,2,5,0,
taytay_shanay,6,I think I did well on the quiz. I think everyone failed it and I failed it too\t but I failed it less than everyone else. #overheardatUCLA,3,2,2,
taytay_shanay,6,I think I did well on the quiz. I think everyone failed it and I failed it too\t but I failed it less than everyone else. #overheardatUCLA,1,3,2,
paja_thao,11,I think that if we were objects in this world\t our irrelevancy would kill us slowly and we would diminish within a second of time.,2,5,0,
_nicolenaranjo,2,I want a check plus.,2,5,0,
VintedAlyssa,10,I want it to ship already /:,3,2,2,
theaaliyahsade,3,I want keniyah to make another film about muslimahs when she gets here,1,3,2,
theaaliyahsade,2,I WANT TO ASK HIM ABOUT HIS LIFE SO BADLY OMG,1,4,3,
daisyarriaga1,5,i want to be able to get whatever i want again,2,5,0,
Lilly_vujacic,11,I want to go home ???\x81,3,2,3,
theaaliyahsade,6,I want to travel and see beautiful places or whatever\t but what\'s more important to me is meeting people from different places,2,5,0,
scoopofscorpio,5,I was so happy to find that people understood my costume:,1,4,2,
scoopofscorpio,7,I was stressed out about my essay\t but then I got this email from my TA. ??????\x8f? https://t.co/M8hlalZ9I7,3,2,2,
sgbrandonn,6,I was suppose to leave yesterday night but I stayed,2,5,0,
francapark,9,I wear the same pair of sweats to my 8am my classmates probably think I own nothing else,2,5,0,
scoopofscorpio,7,I wish I could have heard what that student shouted during the rally that caused such unrest ????,2,5,2,
francapark,11,I would love if these 3 asteroids on my face could leave thanks,1,3,2,
Lilly_vujacic,4,I wouldn't know what that feels like. I'm from LA  https://t.co/D7RGAheEdz,0,0,0,
theaaliyahsade,3,I'm a wanderer,2,5,0,
_nicolenaranjo,9,I'm famous and came out on the news!,1,4,2,
nancyh_22,0,I'm fucken scared it's the first day of class.,3,2,3,
VintedAlyssa,1,I'm locked out of my room,3,2,2,
rickyterriquez,12,I'm sad &amp; eric went to sleep so now I'm sad &amp; lonely ????,3,2,2,
Lilly_vujacic,1,I'm so sleepy,3,2,2,
angelaa_trannn,3,I'm so sore ????,3,2,2,
nancyh_22,3,I'm soo sleepy but I have hw to finish.,3,2,2,
nancyh_22,9,I'm soooo happy my brother is coming back,1,4,2,
sgbrandonn,7,I'm still not done with midterms ????????,3,2,2,
nancyh_22,4,I'm surprise Brandon is not here eating my food.,1,4,2,
francapark,8,I've always hated cheese sticks,3,1,2,
Lilly_vujacic,6,I've been listening to mariachi for 4 hours straight now,2,5,2,
theaaliyahsade,0,I've changed my schedule so much in the past week lmao,1,4,2,
theaaliyahsade,3,I've decided imma become a Sociology Professor very later on in life.,1,4,2,
theaaliyahsade,0,I\'m catching 60% of what is going on\t do I drop or nah?,2,5,0,
lauraa_x16,11,"I\'m still slightly bitter that I lost the spelling bee in sixth grade just bc I gave the British English spelling of ""argument""",2,5,2,
rickyterriquez,12,idk I like being alone,2,5,0,
_nicolenaranjo,3,idk idk idk idk idk,2,5,0,
sgbrandonn,5,Idk why I'm complaining about my 10am class... I didn't complain this much about my everyday 8am during summer quarter,2,5,0,
daisiessyrup,11,If anybody ever has to take an English Comp 3 Course at UCLA take PEGGY DAVIS! She was the business.,1,4,2,
daisiessyrup,11,If anybody ever has to take an English Comp 3 Course at UCLA take PEGGY DAVIS! She was the business.,1,4,2,
rickyterriquez,6,if I were straight I'd date Christine,1,3,2,
scoopofscorpio,1,if tweeting could get me my degree I'd be here forever.,3,2,2,
theaaliyahsade,3,IF YOU A WOKE TRANSFER\t TRANSFER TO UCLA OR UC BERK &lt;3 &lt;3,1,4,2,
scoopofscorpio,3,If you clap. I clap back is my favorite part of @rgay 's bio.,2,5,0,
ChristyLovee_,7,Ig it's just not meant for me to be happy,3,2,2,
_nicolenaranjo,6,Ily ??\x90????? https://t.co/jYOs9myhXd,0,0,0,
_nicolenaranjo,6,Ily ??\x90????? https://t.co/jYOs9myhXd,0,0,0,
macklork,4,im pretty sure my entire freshman 15 is going to be 98% peanut butter,1,4,2,
francapark,7,Im so excited. Tomorrow I'm going grocery shopping. Then no class Tuesday or Wednesday.,1,4,3,
theaaliyahsade,3,IM SO HAPPY I GO TO A CAMPUS THAT ENCOURAGES ECO FRIENDLINESS BC IM BECOMING HELLA ENVIRONMENTALLY AWARE #ALX #sustainableby2020,1,4,2,
theaaliyahsade,1,in love with the books,1,4,2,
daisyarriaga1,9,instant mash potatoes does not play i blinked and it was done !!!,1,4,2,
theaaliyahsade,2,Islamic Appreciation Day next Tuesday :) come thru,1,4,2,
theaaliyahsade,3,Islamic Feminism is huge here\t like we did this exercise where we talked about the biggest issues in society &amp; every1 cited patriarchy,2,5,0,
theaaliyahsade,2,isn't it so wild that everyday i meet somebody who i feel like is gonna help me become a better person,1,3,2,
theaaliyahsade,7,It blows my mind that billions of people have lived with minds just as complex as my own\t with their own needs\t wants\t passions etc.,1,3,2,
theaaliyahsade,1,it felt so good being in love,1,3,3,
daisyarriaga1,2,it like using ur outside voice inside lol #totalnerd,1,4,2,
k8giannini,8,It makes my day seeing pledges dressed as donut elves,1,4,3,
francapark,4,it's 500 degrees and I'm going to be in all black jeans and leather jacket all day great,3,2,2,
sgbrandonn,7,It's 9 and my midterm review session just ended,3,2,2,
scoopofscorpio,6,it's about to be week 7 already.......umm,3,2,2,
theaaliyahsade,4,it's cool,0,0,0,
theaaliyahsade,8,it's crazy a year later and i'm still up at dumb times watching hair and makeup videos,3,2,2,
rickyterriquez,8,it's flippin crazy that I'm done cheering at the Rose Bowl for the year; it's been great ???? https://t.co/DsnHhgNDy9,1,4,2,
rickyterriquez,5,it's hard trying to be extremely obvious that you're flirting while still trying to be subtle,3,2,2,
ChristyLovee_,5,It's hot af in this lounge,0,0,0,
_nicolenaranjo,5,it's not even my birthday! ????Thank you @BaskinRobbins I love you ??\x8d????? https://t.co/33GRhZaKlU,1,3,2,
theaaliyahsade,2,It's only week 2 tho,2,5,0,
daisyarriaga1,2,It's sad to see such a well know institution like UCLA still have to deal with racism in Fraternity and Sororities! #AllLivesMatter,3,2,2,
