User ID,Postive_sen,neutral_sen,Neg_sen,Unknown_Sen,Anger,Sad,Love,Happiness,Neutral,unkown_emotion,unknow_emo_intensity,noemotion,Some_emotion,Extreme_Emotion,total_tweets
,1,2,3,0,1,2,3,4,5,0,0,1,2,3,1
CynthiaSyuko,1,0,1,0,1,0,0,1,0,0,0,0,2,0,2
macklork,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
VintedAlyssa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ChristyLovee_,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10
_nicolenaranjo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39
rickyterriquez,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20
angelaa_trannn,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
pppnguyener,,,,,,,,,,,,,,,
lauraa_x16,,,,,,,,,,,,,,,
daisiessyrup,,,,,,,,,,,,,,,
Shea_bertolucci,,,,,,,,,,,,,,,
rgiiipa,,,,,,,,,,,,,,,
taytay_shanay,,,,,,,,,,,,,,,
theaaliyahsade,,,,,,,,,,,,,,,
francapark,,,,,,,,,,,,,,,
CHRISHTYCLAR,,,,,,,,,,,,,,,
mermaidnury,,,,,,,,,,,,,,,
devyneverts,,,,,,,,,,,,,,,
ThatAsian_Zeke,,,,,,,,,,,,,,,
paja_thao,,,,,,,,,,,,,,,
KAISERxDRAGON,,,,,,,,,,,,,,,
NYokubaitis,,,,,,,,,,,,,,,
daisyarriaga1,,,,,,,,,,,,,,,
Lilly_vujacic,,,,,,,,,,,,,,,
nancyh_22,,,,,,,,,,,,,,,
sgbrandonn,,,,,,,,,,,,,,,
k8giannini,,,,,,,,,,,,,,,
bellaaaooo,,,,,,,,,,,,,,,
evelyn_fierro,,,,,,,,,,,,,,,
AndrewKnapp13,,,,,,,,,,,,,,,
joshiepennock,,,,,,,,,,,,,,,
aaronhuang327,,,,,,,,,,,,,,,
piwrightonline,,,,,,,,,,,,,,,
hiseolee,,,,,,,,,,,,,,,
DreamKillerKai,,,,,,,,,,,,,,,
5seconds0fnikki,,,,,,,,,,,,,,,
torthea_chip,,,,,,,,,,,,,,,
RunAngieRunn,,,,,,,,,,,,,,,
HenrywcjWang,,,,,,,,,,,,,,,
paulmseo,,,,,,,,,,,,,,,
SirFrancisAnton,,,,,,,,,,,,,,,
jakeyafable,,,,,,,,,,,,,,,
FRitsBadAsh,,,,,,,,,,,,,,,
thetrueraj,,,,,,,,,,,,,,,
SaturnCee,,,,,,,,,,,,,,,
lastxwish,,,,,,,,,,,,,,,
_ChainGangRick,,,,,,,,,,,,,,,
tvokidd,,,,,,,,,,,,,,,
ohhsesha,,,,,,,,,,,,,,,
JJust_Justin,,,,,,,,,,,,,,,
christinamc12,,,,,,,,,,,,,,,
heyitschio,,,,,,,,,,,,,,,
youleeeeee,,,,,,,,,,,,,,,
IsaacPatronus,,,,,,,,,,,,,,,
sherry9788,,,,,,,,,,,,,,,
Sarahh_Jennifer,,,,,,,,,,,,,,,
arifineee,,,,,,,,,,,,,,,
chuppug,,,,,,,,,,,,,,,
aileensan_,,,,,,,,,,,,,,,
cynthiacuevas21,,,,,,,,,,,,,,,
PrenySarkissian,,,,,,,,,,,,,,,
nasusiel,,,,,,,,,,,,,,,
jessicadangg,,,,,,,,,,,,,,,
bjornMentalist,,,,,,,,,,,,,,,
natasha_4397,,,,,,,,,,,,,,,
watchmelin,,,,,,,,,,,,,,,
nicolekim35,,,,,,,,,,,,,,,
Adriianna7,,,,,,,,,,,,,,,
AlohaMejia,,,,,,,,,,,,,,,
amqtran,,,,,,,,,,,,,,,
snyderjason14,,,,,,,,,,,,,,,
alter_zachary,,,,,,,,,,,,,,,
Sharkus_19,,,,,,,,,,,,,,,
celinalove33,,,,,,,,,,,,,,,
otterpals,,,,,,,,,,,,,,,
jayqualynn,,,,,,,,,,,,,,,
caseyrdooley,,,,,,,,,,,,,,,
phyuphyuu,,,,,,,,,,,,,,,
tingchanghui,,,,,,,,,,,,,,,
JacquelineBaca9,,,,,,,,,,,,,,,
Tjans22,,,,,,,,,,,,,,,
OwenDHart,,,,,,,,,,,,,,,
BeckyBeaar,,,,,,,,,,,,,,,
PSedaros,,,,,,,,,,,,,,,
whoisbenhuang,,,,,,,,,,,,,,,
Ayojunior4,,,,,,,,,,,,,,,
riggypiggy1106,,,,,,,,,,,,,,,
sarahenero897,,,,,,,,,,,,,,,
d_trifoglio,,,,,,,,,,,,,,,
lil_Taite,,,,,,,,,,,,,,,
_cindyyyle,,,,,,,,,,,,,,,
umamv5,,,,,,,,,,,,,,,
CedilloIsrael,,,,,,,,,,,,,,,
ZDevereux97,,,,,,,,,,,,,,,
tram_bam,,,,,,,,,,,,,,,
cks_nox,,,,,,,,,,,,,,,
Teresar14M,,,,,,,,,,,,,,,
engravedfilms,,,,,,,,,,,,,,,
Captain_Cal,,,,,,,,,,,,,,,
suchastutz,,,,,,,,,,,,,,,
JolieAshraf,,,,,,,,,,,,,,,
Anderewws,,,,,,,,,,,,,,,
HighhStandardss,,,,,,,,,,,,,,,
xo_dezzy,,,,,,,,,,,,,,,
Kimberlypagano,,,,,,,,,,,,,,,
kristina_pagano,,,,,,,,,,,,,,,
marymchenry7,,,,,,,,,,,,,,,
Johanna_Hunter,,,,,,,,,,,,,,,
Chavez_Plays,,,,,,,,,,,,,,,
kariswerve,,,,,,,,,,,,,,,
DayOneShola,,,,,,,,,,,,,,,
VanilluhWafer,,,,,,,,,,,,,,,
azulitaa_02,,,,,,,,,,,,,,,
jasonhibono,,,,,,,,,,,,,,,
MonicaPortillo_,,,,,,,,,,,,,,,
temesgentoofly,,,,,,,,,,,,,,,
dlcgx,,,,,,,,,,,,,,,
allisonjae_,,,,,,,,,,,,,,,
brenna_annalise,,,,,,,,,,,,,,,
TierraSmiles_,,,,,,,,,,,,,,,
kelsey_lachance,,,,,,,,,,,,,,,
Katelynnxxoxo,,,,,,,,,,,,,,,
juarezalexis38,,,,,,,,,,,,,,,
KarminLaBrea,,,,,,,,,,,,,,,
Jaavieerrr_,,,,,,,,,,,,,,,
nessa_stef97,,,,,,,,,,,,,,,
Sirenitaaa3,,,,,,,,,,,,,,,
tracy_keyes_,,,,,,,,,,,,,,,
perezkevin28,,,,,,,,,,,,,,,
NatanHek,,,,,,,,,,,,,,,
isabelng523,,,,,,,,,,,,,,,
khanhsuela,,,,,,,,,,,,,,,
IndooDude,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,